Rank,PlayerName,Team,Position,Age,GamesPlayed,GamesStarted,CompletedPasses,AttemptedPasses,PassingYards,PassingTouchdowns,Interceptions,RushAttempts,RushYards,YardsPerRush,RushingTouchdowns,Targets,Receptions,ReceivingYards,YardsPerRecepetion,ReceivingTouchdowns,Fumbles,FL,TotalTouchdowns,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PositionRank,OverallRank,-9999
1,Josh Allen,BUF,QB,26,6,6,160,239,1980,17,4,47,257,5.47,2,0,0,0,,0,5,2,2,,,173,172.9,184.9,176.9,74,1,1,AlleJo02
2,Nick Chubb,CLE,RB,27,6,6,0,0,0,0,0,110,649,5.9,7,11,7,51,7.29,0,0,0,7,,,112,119,122,115.5,58,1,2,ChubNi00
3,Travis Kelce,KAN,TE,33,6,6,0,0,0,0,0,2,5,2.5,0,52,41,455,11.1,7,0,0,7,1,,90,131,134,110.5,54,1,3,KelcTr00
4,Stefon Diggs,BUF,WR,29,6,6,0,0,0,0,0,0,0,,0,65,49,656,13.39,6,0,0,6,,,102,150.6,153.6,126.1,53,1,4,DiggSt00
5,Saquon Barkley,NYG,RB,25,6,6,0,0,0,0,0,119,616,5.18,4,26,21,155,7.38,0,1,0,4,1,,103,124.1,130.1,113.6,50,2,5,BarkSa00
6,Lamar Jackson,BAL,QB,25,6,6,112,181,1277,13,6,56,451,8.05,2,0,0,0,,0,3,1,2,,,146,146.2,159.2,152.2,48,2,6,JackLa00
7,Jalen Hurts,PHI,QB,24,6,6,123,184,1514,6,2,77,293,3.81,6,0,0,0,,0,3,0,6,,,146,145.9,153.9,147.9,48,3,7,HurtJa00
8,Patrick Mahomes,KAN,QB,27,6,6,151,229,1736,17,4,21,113,5.38,0,0,0,0,,0,1,0,0,,1,143,142.7,152.7,146.7,45,4,8,MahoPa00
9,Cooper Kupp,LAR,WR,29,6,6,0,1,0,0,0,4,41,10.25,1,72,56,607,10.84,4,1,1,5,,,93,148.8,152.8,120.8,45,2,9,KuppCo00
10,Austin Ekeler,LAC,RB,27,6,6,0,0,0,0,0,75,349,4.65,4,49,41,261,6.37,2,1,0,6,,,97,138,144,117.5,44,3,10,EkelAu00
11,Mark Andrews,BAL,TE,27,6,6,0,0,0,0,0,1,3,3,0,57,39,455,11.67,5,0,0,5,,,76,114.8,117.8,95.3,41,2,11,AndrMa00
