Rank,PlayerName,Team,Position,Age,GamesPlayed,GamesStarted,CompletedPasses,AttemptedPasses,PassingYards,PassingTouchdowns,Interceptions,RushAttempts,RushYards,YardsPerRush,RushingTouchdowns,Targets,Receptions,ReceivingYards,YardsPerReception,ReceivingTouchdowns,Fumbles,FL,TotalTouchdowns,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PositionRank,OverallRank,-9999,Opportunities,RedZoneMarketShare,RedZoneTargets,RedZoneTargetShare,RedZoneCarries,MarketShareCarries,Snaps,TeamSnaps,SnapPercent,SnapsPerGame,RushPercent,TargetPercent,ReceptionRate,YardsPerTarget,PasserRating,Targets,Y/G
33,A.J. Brown,PHI,WR,25,6,5,0,0,0,0,0,0,0,,0,53,33,503,15.24,2,0,0,2,,,62,95.3,98.3,78.8,16,10,33,BrowAJ00,9,11.84,9,37.5,0,0,372,446,83.41,62,0,14.25,62.3,9.49,0,53,0
290,A.J. Green,ARI,WR,34,5,3,0,0,0,0,0,0,0,,0,22,10,56,5.6,0,0,0,0,1,,8,17.6,17.6,12.6,,120,,GreeA.00,3,7.5,3,11.54,0,0,249,375,66.4,49.8,0,8.84,45.5,2.55,0,22,0
41,Aaron Jones,GNB,RB,28,6,6,0,0,0,0,0,70,409,5.84,1,23,17,123,7.24,1,1,1,2,,,63,80.2,87.2,71.7,12,15,41,JoneAa00,12,24.49,3,10,9,47.37,248,400,62,41.33,28.23,9.27,73.9,5.35,0,23,0
86,Aaron Rodgers,GNB,QB,39,6,6,140,209,1403,9,3,9,9,1,0,0,0,0,,0,5,3,0,,,81,81,90,84,,20,,RodgAa00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.2,0,233.8
484,Adam Prentice,NOR,RB,25,3,1,0,0,0,0,0,0,0,,0,1,1,2,2,0,1,0,0,,,,1.2,1.2,0.7,,118,,PrenAd00,0,0,0,0,0,0,19,198,9.6,6.33,0,5.26,100,2,0,1,0
115,Adam Thielen,MIN,WR,32,6,6,0,0,0,0,0,0,0,,0,43,29,284,9.79,2,0,0,2,1,,42,71.4,74.4,56.9,,34,,ThieAd00,9,15.52,9,23.68,0,0,379,398,95.23,63.17,0,11.35,67.4,6.6,0,43,0
233,Adam Trautman,NOR,TE,25,6,6,0,0,0,0,0,0,0,,0,8,7,86,12.29,1,0,0,1,,,15,21.6,21.6,18.1,,33,,TrauAd00,2,4.55,2,7.69,0,0,207,407,50.86,34.5,0,3.86,87.5,10.75,0,8,0
111,AJ Dillon,GNB,RB,24,6,2,0,0,0,0,0,73,286,3.92,1,20,13,80,6.15,0,0,0,1,,,43,55.6,58.6,49.1,,34,,DillAJ00,10,20.41,2,6.67,8,42.11,201,400,50.25,33.5,36.32,9.95,65,4,0,20,0
330,Albert Okwuegbunam,DEN,TE,24,5,0,0,0,0,0,0,0,0,,0,11,7,50,7.14,0,0,0,0,,,5,12,12,8.5,,67,,OkwuAl00,1,2.33,1,3.7,0,0,122,338,36.09,24.4,0,9.02,63.6,4.55,0,11,0
343,Alec Ingold,MIA,RB,26,6,6,0,0,0,0,0,4,5,1.25,0,7,5,33,6.6,0,0,0,0,,,4,8.8,8.8,6.3,,89,,IngoAl01,1,2.38,0,0,1,6.25,129,383,33.68,21.5,3.1,5.43,71.4,4.71,0,7,0
