Team,RedZoneScoringAttempts/Game,TeamPPG,TeamRushY/G,TeamPassY/G,PointDifferential,PPGAllowed,RushingYardsAllowed,ReceivingYardsAllowed,Blitz%,Pressure%,Opponent
ARI,3.1,22.3,121.9,221.3,-2.9,25.14285714,101.1428571,258.5714286,36.8,20.9,NOR
ATL,3.5,24.3,165.2,159.2,1.7,22.66666667,104,281.1666667,18.4,12.2,CIN
BAL,3.3,26.3,155.7,205.7,2.8,23.5,103.8333333,267.6666667,24.4,18.4,CLE
BUF,3.7,29.3,117.8,323,15.8,13.5,76.16666667,205.3333333,15,22.9,BYE
CAR,2.2,17.2,90.3,169.7,-7.2,24.33333333,133.3333333,223.5,28.4,20.4,TAM
CHI,2.5,15.5,170.7,122.8,-4.2,19.66666667,163,178.6666667,13.9,25.1,NWE
CIN,3.2,23,89,248.7,3.8,19.16666667,121,218,21.6,23.2,ATL
CLE,3.7,24.7,172,213,-2.5,27.16666667,131.5,229.8333333,26.1,18.4,BAL
DAL,2.3,18.3,118.8,182,2,16.33333333,120.6666667,183.5,27.9,32.4,DET
DEN,2.5,15.2,110.2,219.2,-1.3,16.5,105.8333333,184.5,33.2,26.1,NYJ
DET,4,28,151.4,260.4,-6,28.33333333,139.6666667,217.5,31.3,22.9,DAL
GNB,3.2,17.8,122.3,225.8,-2.7,20.5,135.1666667,164,34.3,24.4,WAS
HOU,2,17.2,99.2,192,-2.6,16.5,137.3333333,207.8333333,16.6,21,LVR
IND,3.2,17.2,83.7,266.2,-3,20.16666667,121,202.6666667,17.1,22.4,TEN
JAX,3.7,23,136.7,221.2,4,19,89.33333333,244.5,27.5,24.2,NYG
KAN,4.2,29.8,106.5,275.8,5,24.83333333,90.5,266,30,26.6,SFO
LAC,4.2,23.5,94.8,280,-1.8,25.33333333,125,224.8333333,28.9,21.1,SEA
LAR,3.2,17.3,70.5,239.3,-3.7,21,104.1666667,197.1666667,28.7,12.9,BYE
LVR,3.8,25,121.4,239.2,-1,21.66666667,86,213.3333333,26.3,18.6,HOU
MIA,2.8,21,81.2,285,-4,25.83333333,104.6666667,256.6666667,29.3,15.7,PIT
MIN,3.7,23.2,97.8,242,3.5,19.66666667,112.5,272,17.6,21.4,BYE
NOR,3.6,25,142,256.3,-3.6,28.57142857,123.1428571,217.2857143,15,17,ARI
NWE,3.3,23.5,131.3,223.3,4.7,18.83333333,119,218.8333333,29.3,24.6,CHI
NYG,2.8,21.2,163,154.3,2.3,18.83333333,144.8333333,194.5,42.5,24.8,JAX
NYJ,3.2,23.8,110.7,232.3,2.5,21.33333333,105.3333333,207.8333333,14.9,26.6,DEN
PHI,4.2,26.8,156,238.5,9.3,17.5,109.8333333,188,22.8,25.2,BYE
PIT,2.7,16.2,86.7,204.8,-8.2,24.33333333,120.1666667,277.8333333,24.5,16,MIA
SEA,3,24.3,124,216.2,5.5,27.16666667,165.8333333,245,21.7,24.1,LAC
SFO,2.8,20.3,124.3,231.7,-2.8,14.83333333,87.5,168.3333333,24.9,30,KAN
TAM,3,20.2,67.5,264.5,3,17.16666667,109.1666667,193.3333333,30.4,24.2,CAR
TEN,2.6,19.2,102.8,175.4,-4.4,19.66666667,86,239.6666667,19.3,22.8,IND
WAS,2.3,17,95.5,224.8,-5.5,22.5,131.6666667,221.5,28.4,29.3,GNB
